time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010492349642	99.0777	17.4896	1.16497	-0.781988	-0.144541	radar	1.31673	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278
1477010493349642	99.9622	16.9408	1.06668	-0.645313	-0.0124572	lidar	1.04085	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134
1477010493349642	100.044	16.9549	1.11816	-0.582612	0.0201365	radar	2.07624	100.441	16.9521	100.117	17.0001	0.944242	-0.512134
1477010494349642	101.155	16.51	1.19761	-0.356498	0.118989	lidar	0.767731	101.204	16.5368	101.065	16.497	0.991362	-0.513687
1477010494349642	101.141	16.5109	1.14434	-0.372043	0.105598	radar	0.145806	101.169	16.4353	101.065	16.497	0.991362	-0.513687
1477010495349642	102.347	16.3643	1.21784	-0.0522742	0.208012	lidar	0.731866	102.387	16.3992	102.063	15.9949	1.04911	-0.512803
1477010495349642	102.274	16.3567	1.10202	-0.0834551	0.189403	radar	1.32444	102.081	15.8359	102.063	15.9949	1.04911	-0.512803
1477010496349642	103.077	15.5015	0.877467	-0.643078	-0.162507	lidar	7.7468	103.003	15.353	103.119	15.4967	1.11708	-0.508169
1477010496349642	103.053	15.5255	0.973503	-0.584098	-0.109751	radar	2.80917	102.776	15.1195	103.119	15.4967	1.11708	-0.508169
1477010497349642	104.046	15.2161	1.04735	-0.358664	0.0504484	lidar	1.71817	104.114	15.2708	104.244	15.0064	1.19469	-0.498349
1477010497349642	104.041	15.2095	1.13344	-0.343498	0.0644159	radar	0.985718	103.905	14.7607	104.244	15.0064	1.19469	-0.498349
1477010498349642	105.453	14.4958	1.57013	-0.468918	-0.0238422	lidar	2.8325	105.541	14.4412	105.447	14.5293	1.28111	-0.481861
1477010498349642	105.412	14.4854	1.51757	-0.496788	-0.0412332	radar	0.43947	105.316	14.0026	105.447	14.5293	1.28111	-0.481861
1477010499349642	106.808	14.0195	1.5024	-0.329454	0.0597416	lidar	0.537778	106.831	14.0482	106.737	14.0724	1.37529	-0.457255
1477010499349642	106.761	14.0111	1.49783	-0.344529	0.055254	radar	1.12399	106.439	14.2401	106.737	14.0724	1.37529	-0.457255
1477010500349642	108.096	13.6474	1.42625	-0.235893	0.0823367	lidar	0.0974478	108.084	13.6604	108.122	13.644	1.47592	-0.423202
1477010500349642	108.118	13.6493	1.49535	-0.222432	0.0943708	radar	0.195436	108.131	13.6844	108.122	13.644	1.47592	-0.423202
1477010501349642	109.537	13.5511	1.45813	-0.018653	0.150018	lidar	0.166959	109.534	13.5714	109.606	13.2536	1.58144	-0.378583
1477010501349642	109.508	13.5458	1.44888	-0.0253339	0.147199	radar	0.382563	109.388	13.1556	109.606	13.2536	1.58144	-0.378583
